
🎞️电影直播,#genre#
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
华数电影,http://hmfs.f3322.net:3388/hls/40/index.m3u8
华数动作影院,http://113.25.252.226:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
华数经典电影,http://123.129.70.178:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC家庭影院,http://27.41.245.32:801/hls/905/index.m3u8
CHC家庭影院,http://go.bkpcp.top/mg/jtyy
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC动作电影,http://go.bkpcp.top/mg/dzdy
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC影迷电影,http://go.bkpcp.top/mg/ymdy
1905环球经典,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905b
1905电影网,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
新视觉HD,http://gat.bkpcp.top/ymg.php?id=mlzq
经典影艺,rtmp://live.gxrb.com.cn/pull/red_movies_0501?m3u8?key=txiptv
周星驰专场,https://isus.cc/php/huya.php?id=11336587
李连杰专场,https://isus.cc/php/huya.php?id=11342390
刘德华专场,https://isus.cc/php/huya.php?id=11342424
林正英专场,https://isus.cc/php/huya.php?id=11342421
甄子丹专场,https://isus.cc/php/huya.php?id=11352935
沈腾专场,https://isus.cc/php/huya.php?id=11601968
黄渤专场,https://isus.cc/php/huya.php?id=11352876
周润发专场,https://isus.cc/php/huya.php?id=11342387
成龙专场,https://isus.cc/php/huya.php?id=11342386
古天乐专场,https://isus.cc/php/huya.php?id=29982675
王晶专场,https://isus.cc/php/huya.php?id=11602058
吴京专场,https://isus.cc/php/huya.php?id=11602077
洪金宝专场,https://isus.cc/php/huya.php?id=11279251
徐克专场,https://isus.cc/php/huya.php?id=11352909
徐峥专场,https://isus.cc/php/huya.php?id=11602043
邓超专场,https://isus.cc/php/huya.php?id=11336592
梁家辉专场,https://isus.cc/php/huya.php?id=11342429
张卫健专场,https://isus.cc/php/huya.php?id=11342423
王宝强专场,https://isus.cc/php/huya.php?id=30080251
陈小春专场,https://isus.cc/php/huya.php?id=11336719
郭富城专场,https://isus.cc/php/huya.php?id=20985865
吴镇宇专场,https://isus.cc/php/huya.php?id=23865096
陆小凤专场,https://isus.cc/php/huya.php?id=11342427
强森专场,https://isus.cc/php/huya.php?id=21059581
斯坦森专场,https://isus.cc/php/huya.php?id=21059588
马东锡专场,https://isus.cc/php/huya.php?id=21059556
灾难片系列,https://isus.cc/php/huya.php?id=23728647
贺岁片系列,https://isus.cc/php/huya.php?id=11601986
科幻片系列,https://isus.cc/php/huya.php?id=11352965
丧尸片系列,https://isus.cc/php/huya.php?id=24314160
怪兽片系列,https://isus.cc/php/huya.php?id=29982674
战争片系列,https://isus.cc/php/huya.php?id=21059618
硬汉片系列,https://isus.cc/php/huya.php?id=23864973
竞速片系列,https://isus.cc/php/huya.php?id=29982635
动作片系列,https://isus.cc/php/huya.php?id=10871113
爱情片系列,https://isus.cc/php/huya.php?id=29982639
犯罪片系列,https://isus.cc/php/huya.php?id=30080165
奇幻片系列,https://isus.cc/php/huya.php?id=26355847
冒险片系列,https://isus.cc/php/huya.php?id=21059566
盗墓片系列,https://isus.cc/php/huya.php?id=11601981
穿越片系列,https://isus.cc/php/huya.php?id=29465892
悬疑片系列,https://isus.cc/php/huya.php?id=21059530
喜剧片系列,https://isus.cc/php/huya.php?id=11602044
英雄片系列,https://isus.cc/php/huya.php?id=11601980
枪战片系列,https://isus.cc/php/huya.php?id=21059579
武侠片系列,https://isus.cc/php/huya.php?id=29982611
复仇片系列,https://isus.cc/php/huya.php?id=29982645
星球片系列,https://isus.cc/php/huya.php?id=30080234
校园片系列,https://isus.cc/php/huya.php?id=11352934
警匪片系列,https://isus.cc/php/huya.php?id=30041512
谍战片系列,https://isus.cc/php/huya.php?id=26355810
动画片系列,https://isus.cc/php/huya.php?id=11352878
恐怖片系列,https://isus.cc/php/huya.php?id=24884334
惊悚片系列,https://isus.cc/php/huya.php?id=26355802
僵尸片系列,https://isus.cc/php/huya.php?id=11352917
音乐片系列,https://isus.cc/php/huya.php?id=23860057
杀手片系列,https://isus.cc/php/huya.php?id=23728689
体育片系列,https://isus.cc/php/huya.php?id=23864480
西部片系列,https://isus.cc/php/huya.php?id=30080177
香港片系列,https://isus.cc/php/huya.php?id=29982660
印度片系列,https://isus.cc/php/huya.php?id=26355799
热门片系列,https://isus.cc/php/huya.php?id=880261
高分片系列,https://isus.cc/php/huya.php?id=23902225
短片系列,https://isus.cc/php/huya.php?id=17098448




📺电视剧直播,#genre#
探案剧专区,https://isus.cc/php/huya.php?id=20969144
都市剧专区,https://isus.cc/php/huya.php?id=29982666
刑侦剧专区,https://isus.cc/php/huya.php?id=20969130
家庭剧专区,https://isus.cc/php/huya.php?id=11352872
经典剧专区,https://isus.cc/php/huya.php?id=11602081
怀旧剧专区,https://isus.cc/php/huya.php?id=30080241
僵尸剧专区,https://isus.cc/php/huya.php?id=23865148
抗战剧专区,https://isus.cc/php/huya.php?id=30080238
台湾剧专区,https://isus.cc/php/huya.php?id=11342436
韩国剧专区,https://isus.cc/php/huya.php?id=23863787
美国剧专区,https://isus.cc/php/huya.php?id=30080138
英国剧专区,https://isus.cc/php/huya.php?id=29982659
校园剧专区,https://isus.cc/php/huya.php?id=30080228
谍战剧专区,https://isus.cc/php/huya.php?id=30080225
古装剧专区,https://isus.cc/php/huya.php?id=24314158
乡村剧专区,https://isus.cc/php/huya.php?id=30080255
偶像剧专区,https://isus.cc/php/huya.php?id=11601964
爱情剧专区,https://isus.cc/php/huya.php?id=29982671
搞笑剧专区,https://isus.cc/php/huya.php?id=21059634
武侠剧专区,https://isus.cc/php/huya.php?id=20985816
穿越剧专区,https://isus.cc/php/huya.php?id=26355857
年代剧专区,https://isus.cc/php/huya.php?id=20969095


💽纪录片直播,#genre#
幻海航行,http://222.186.39.21:35466/douyu/17105786
碎片记,http://222.186.39.21:35466/douyu/9412981
宇宙视界,http://222.186.39.21:35466/douyu/9498354
宇宙探索飞船,http://222.186.39.21:35466/douyu/9456028
世界未解之谜,http://222.186.39.21:35466/douyu/9369468
贝爷,https://isus.cc/php/huya.php?id=20969143
生存记,https://isus.cc/php/huya.php?id=20985861
航拍中国专场,https://isus.cc/php/huya.php?id=22414123
中国通史,https://isus.cc/php/huya.php?id=20985822
云游故宫1,https://isus.cc/php/huya.php?id=19743457
云游故宫2,https://isus.cc/php/huya.php?id=19743452


🍿短剧直播,#genre#
陈翔六点半,https://isus.cc/php/huya.php?id=11274154
人生回答机本机,http://222.186.39.21:35466/douyu/9409722
郑云工作室,http://222.186.39.21:35466/douyu/2995636
王Li差点红,http://222.186.39.21:35466/douyu/9348469
田小豆短剧,http://222.186.39.21:35466/douyu/10378551
哈利影视,http://222.186.39.21:35466/douyu/8475821
不思异剧场,http://222.186.39.21:35466/douyu/9297412


🧨小品直播,#genre#
赵本山专场,http://222.186.39.21:35466/douyu/9817716
宋小宝专场,http://222.186.39.21:35466/douyu/9817729
贾玲专场,http://222.186.39.21:35466/douyu/10419541
许君聪专场,http://222.186.39.21:35466/douyu/10419558
沈腾马丽专场,http://222.186.39.21:35466/douyu/10153463
德云哈啤分社,https://isus.cc/php/huya.php?id=26631018
小饭事件薄,https://isus.cc/php/huya.php?id=20985830

💖埋堆堆爱奇艺直播,#genre#
